Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman & Cooper,40.86900872,-73.92032044,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.8690087167, -73.9203204394)"
Manhattan,82nd Street Greenmarket,82nd St bet 1st & York Aves,40.77344836,-73.94895357,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7734483572999, -73.9489535725)"
Manhattan,1 Centre Street,1 Centre Street,40.7130276,-74.0037529,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Food Boxes,"(40.7130276, -74.0037529)"
Manhattan,125th Street Farmers Market,125th St & Adam Clayton Powell Jr Blvd,40.80898137,-73.94832667,Market open dates: 6/13/2017 to 11/21/2017,06/13/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8089813746999, -73.9483266703999)"
Bronx,170 Farm Stand,170th St & Townsend Ave,40.840095,-73.916827,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.840095, -73.916827)"
Manhattan,175th Street Greenmarket,175th St bet Wadsworth Ave & Broadway,40.84595574,-73.93781267,Market open dates: 6/29/2017 to 11/30/2017,06/29/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8459557405, -73.9378126725)"
Manhattan,57th Street Greenmarket,57th St & 9th Ave,40.76792538,-73.98571616,Market open dates: 5/17/2017 to 12/23/2017,05/17/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7679253828, -73.9857161617999)"
Manhattan,79th Street Greenmarket,Columbus Ave bet 78th & 81st Sts,40.78325007,-73.97454056,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7832500724, -73.9745405583999)"
Manhattan,92nd Street Greenmarket,92nd St & 1st Ave,40.78132447,-73.94613107,Market open dates: 6/25/2017 to 11/19/2017,06/25/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7813244698999, -73.9461310652)"
Manhattan,97th Street Greenmarket,97th St bet Columbus & Amsterdam Aves,40.79474389,-73.96987361,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,TRUE,Farmers Markets,"(40.7947438866, -73.9698736061999)"
Manhattan,Abingdon Square Greenmarket,W 12th St & 8th Ave,40.73755554,-74.0048296,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7375555403, -74.0048296015)"
Queens,Astoria Greenmarket,14th St bet 31st Ave & 31st Rd,40.76826578,-73.93202594,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7682657793999, -73.9320259394)"
Brooklyn,Bartel-Pritchard Square Greenmarket,Prospect Park W & 15th St,40.66096396,-73.98020639,"Market open dates (Sundays): 5/13/2017 to 11/18/2017

Open year-round (Wednesdays only)",,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6609639628999, -73.9802063949999)"
Brooklyn,Bay Ridge Greenmarket,95th St & 3 Ave,40.61728571,-74.03358994,Market open dates: 5/13/2017 to 11/18/2017,05/13/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6172857112999, -74.0335899405999)"
Bronx,Bella Vista Health Center,890 Hunts Point Ave,40.8193281,-73.8893146,Open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.8193281, -73.8893145999999)"
Manhattan,Bellevue Hospital,462 1st Avenue,40.739217,-73.9754976,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Food Boxes,"(40.739217, -73.9754975999999)"
Brooklyn,Bensonhurst Greenmarket,81St & 18 Ave,40.60966683,-73.99975579,Market open dates: 6/4/2017 to 11/19/2017,06/04/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.6096668344999, -73.9997557895)"
Bronx,Bissel Gardens Farmers Market,Baychester Ave & 241st St,40.90152793,-73.84693885,Market open dates: 7/9/2017 to 11/19/2017,07/09/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.901527926, -73.846938851)"
Brooklyn,Boro Park Greenmarket,14th Ave bet 49th & 50th Sts,40.63370403,-73.98991701,Market open dates: 7/6/2017 to 11/21/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6337040262, -73.9899170088999)"
Manhattan,Bowling Green Greenmarket,Broadway & Battery Pl.,40.70455726,-74.01429119,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.704557258, -74.0142911884999)"
Queens,Ditmars Park Youthmarket,Steinway St bet Ditmars Blvd & 23rd Ave,40.77286145,-73.90606247,Market open dates: 6/3/2017 to 11/18/2017,06/03/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7728614473, -73.9060624715999)"
Manhattan,Broadway French Market,Broadway bet 35th & 36th Sts,40.75099661,-73.98774302,Market open dates: 4/5/2017 to 10/27/2017,04/05/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.7509966119, -73.9877430212)"
Bronx,Bronx Borough Hall Greenmarket,Grand Concourse bet 161st & 162nd Sts,40.82772964,-73.92223437,Market open dates: 6/6/2017 to 11/28/2017,06/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8277296369, -73.9222343718)"
Bronx,BronxWorks at McLaughlin Community Center,1130 Grand Concourse,40.8326398,-73.9187735,"Open year-round


Cooking Demonstration: July - Nov only",,Farmers Markets and Food Boxes,TRUE,TRUE,TRUE,Food Boxes,"(40.8326398, -73.9187734999999)"
Brooklyn,Brooklyn Army Terminal,140 58th Street,40.64551,-74.023895,Open dates: 7/11/2017 to 11/21/2017,07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.64551, -74.023895)"
Brooklyn,Brooklyn Borough Hall Greenmarket,Court St & Montague St,40.69372964,-73.99045606,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6937296436, -73.9904560629999)"
Brooklyn,Brooklyn Museum Farm Stand,200 Eastern Parkway,40.67190876,-73.96337171,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6719087556, -73.9633717112999)"
Brooklyn,Brownsville Pitkin Avenue Youthmarket,Pitkin Ave & Thomas Boyland St,40.66927183,-73.91355493,Market open dates: 7/8/2017 to 11/18/2017,07/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6692718266, -73.9135549318999)"
Brooklyn,Brownsville Rockaway Youthmarket,Rockaway & Livonia Aves,40.66256275,-73.90892112,Market open dates: 7/7/2017 to 11/17/2017,07/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6625627542, -73.9089211194)"
Manhattan,Bryant Park French Market,6th Ave & 42nd St,40.75507,-73.984141,Market open dates: 4/12/2017 to 10/13/2017,04/12/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.75507, -73.984141)"
Brooklyn,Carroll Gardens Greenmarket,Carroll St bet Smith & Court St,40.68054952,-73.99465464,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6805495234, -73.9946546352999)"
Manhattan,Chelsea's Down to Earth Farmers Market,23rd Street bet 8th & 9th Aves,40.74530132,-73.99848932,Market open dates: 5/6/2017 to 11/18/2017,05/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7453013204999, -73.9984893169)"
Manhattan,Chenchita's Community Garden,112th St & Madison Ave,40.79745827,-73.94670311,Market open dates: 7/15/2017 to 11/18/2017,07/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.797458274, -73.9467031109)"
Manhattan,City Hall Greenmarket,Broadway & Chambers St,40.71417288,-74.00631047,Market open dates: 3/3/2017 to 12/22/2017,03/03/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7141728797, -74.0063104742)"
Manhattan,Columbia University Greenmarket,Broadway & W 114th St,40.80801018,-73.96390007,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.8080101811, -73.9639000735)"
Queens,Corona Greenmarket,Roosevelt Ave & 104th St,40.74987737,-73.86272726,Market open dates: 7/7/2017 to 11/17/2017,07/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.7498773738999, -73.8627272614999)"
Brooklyn,Cortelyou Greenmarket,Cortelyou Rd & Rugby Rd,40.64083294,-73.9653021,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6408329364, -73.9653020965999)"
Queens,Cunningham Park's Down to Earth Farmers Market,Union Turnpike & 196 Pl,40.731315,-73.774049,Market open dates: 5/28/2017 to 11/19/2017,05/28/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.731315, -73.774049)"
Brooklyn,Cypress Hills Youthmarket,Fulton & Richmond Sts,40.68204661,-73.87786931,Market open dates: 7/7/2017 to 11/17/2017,07/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.6820466121999, -73.8778693147999)"
Manhattan,Dag Hammarskjold Plaza Greenmarket,E 47th St & Second Ave,40.75300739,-73.96988887,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.753007394, -73.9698888707)"
Manhattan,District 5 - Ben Kallos Council Office,244 East 93rd Street,40.782447,-73.9489819,Open dates: 6/15/2017 to 11/16/2017,06/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.782447, -73.9489818999999)"
Brooklyn,DUMBO Down to Earth Farmers Market,Pearl & Water Sts,40.70313843,-73.98759106,Market open dates: 6/7/2017 to 11/15/2017,06/07/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.7031384332999, -73.9875910579)"
Manhattan,East Harlem Asthma Center of Excellence,161-169 East 110th St,40.7946075,-73.9432331,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Food Boxes,"(40.7946075, -73.9432330999999)"
Brooklyn,East New York Farm Stand,New Lots Ave bet Alabama & Georgia Aves,40.6611343,-73.89469308,Market open dates: 7/5/2017 to 10/25/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6611343021, -73.8946930812)"
Brooklyn,East New York Farmers Market,Schenck Ave bet New Lots & Livonia Aves,40.6658587,-73.8866906,Market open dates: 6/24/2017 to 11/25/2017,06/24/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.6658587014999, -73.8866905981)"
Brooklyn,Edible Schoolyard NYC's Farm Stand at PS 216,Avenue X & East 1st St,40.5906565,-73.96929957,Market open dates: May-June & Sept-Nov only,,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.5906564996, -73.9692995709)"
Manhattan,El Barrio Youth Marqueta,116th St & Park Ave,40.7993148,-73.94323426,Market open dates: 7/6/2017 to 11/18/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7993147991999, -73.9432342637)"
Queens,Elmhurst Hospital Greenmarket,41st Ave bet 80th St & 81st St,40.74589948,-73.88456233,Market open dates: 6/6/2017 to 11/21/2017,06/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7458994785, -73.8845623340999)"
Staten Island,Fairway Gardens Farm Stand,80 Park Hill Ave,40.617766,-74.079739,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.617766, -74.079739)"
Manhattan,Family Health Center of Harlem,1824 Madison Avenue,40.8018509,-73.9437621,Open dates: 7/6/2017 to 11/16/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.8018509, -73.9437621)"
Queens,Far Rockaway Youth Market,Beach 45th St & Beach Channel Dr,40.59562006,-73.77655262,Market open dates: 6/24/2017 to 11/25/2017,06/24/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.595620058, -73.7765526193999)"
Brooklyn,Flatbush Junction Youthmarket,Nostrand & Flatbush Aves,40.63289384,-73.94769921,Market open dates: 7/8/2017 to 11/18/2017,07/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6328938407, -73.9476992098999)"
Queens,Flushing Greenmarket,Kissena Blvd & Maple Ave,40.755925,-73.826093,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.755925, -73.826093)"
Bronx,Fordham Plaza Greenmarket,Park Ave bet 189th St & E Fordham Rd,40.860343,-73.891224,Market open dates: 6/7/2017 to 12/20/2017,06/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.860343, -73.891224)"
Queens,Forest Hills Greenmarket,70th Ave & Queens Blvd,40.72188853,-73.84638618,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7218885274999, -73.8463861819)"
Brooklyn,Fort Greene Park Greenmarket,Washington Park bet DeKalb & Willoughby Aves,40.69171508,-73.97354058,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6917150824, -73.9735405829)"
Manhattan,Fort Washington Greenmarket,168th St & Fort Washington Ave,40.84216213,-73.94227971,Market open dates: 6/6/2017 to 11/21/2017,06/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8421621302999, -73.9422797073)"
Manhattan,Frederick Douglass House Farm Stand,101st St & Columbus Ave,40.796082,-73.965217,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.796082, -73.965217)"
Bronx,Friends of Van Cortlandt Park Amalgamated Housing Youth Farmstand,Orloff Ave & Gale Pl,40.88268166,-73.89010772,Market open dates: 7/12/2017 to 11/1/2017,07/12/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8826816599, -73.890107724)"
Manhattan,Gouverneur Health Youthmarket,Madison St bet Clinton & Jefferson Sts,40.71291247,-73.98692913,Market open dates: 7/6/2017 to 11/16/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7129124650999, -73.9869291300999)"
Brooklyn,Graham Avenue Farmers Market,Cook St & Graham Ave,40.7023534,-73.94238272,Market open dates: 7/8/2017 to 10/28/2017,07/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.7023534036, -73.9423827197)"
Brooklyn,Grand Army Plaza Greenmarket,Flatbush Ave & Prospect Park W,40.67242371,-73.9701927,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6724237139999, -73.9701927034)"
Manhattan,Grass Roots Farmers Market,145th St bet Edgecombe & Bradhurst Aves,40.82326784,-73.94292478,Market open dates: 7/4/2017 to 11/28/2017,07/04/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8232678445, -73.942924781)"
Brooklyn,Halsey Community Garden,462 Halsey Street,40.683169,-73.935697,Open dates: 6/3/2017 to 11/18/2017,06/03/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.683169, -73.935697)"
Manhattan,Hamilton Heights Green Youthmarket,Amsterdam bet 143rd & 144th Sts,40.82394844,-73.94855352,Market open dates: 6/21/2017 to 11/22/2017,06/21/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8239484385999, -73.9485535171999)"
Brooklyn,Harvest Home Clinton Hill Farmers Market,Lafayette bet Waverly & Washington Aves,40.68821896,-73.96582192,Market open dates: 6/6/2017 to 11/21/2017,06/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.688218956, -73.9658219186)"
Brooklyn,Harvest Home Coney Island Hospital Farmers Market,Ocean Pkwy bet Ave Z & Shore Pkwy,40.58656038,-73.96616917,Market open dates: 6/14/2017 to 11/22/2017,06/14/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.5865603775, -73.9661691697999)"
Bronx,Harvest Home Co-op City Farmers Market,Asch Loop & Aldrich St,40.87278628,-73.82615613,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8727862821, -73.8261561324)"
Manhattan,Harvest Home East Harlem Farmers Market,104th St & 3rd Ave,40.79026109,-73.9456363,Market open dates: 7/6/2017 to 11/23/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7902610919, -73.9456363032)"
Manhattan,Harvest Home East River Farmers market,1st Ave bet 108th & 109th Sts,40.79091383,-73.93913168,Market open dates: 7/6/20017 to 11/23/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7909138309999, -73.9391316778)"
Manhattan,Harvest Home Harlem Hospital Farmers Market,506 Lenox Ave bet 135th & 137th Sts,40.81543807,-73.93997471,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.8154380718999, -73.9399747135999)"
Bronx,Harvest Home Hunts Point Market,E 163rd St & Hunts Point Ave,40.82099409,-73.89161474,Market open dates: 7/14/2017 to 11/22/2017,07/14/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.820994087, -73.8916147393999)"
Bronx,Harvest Home Jacobi Hospital Farmers Market,1400 Pelham Pkwy at Eastchester Rd,40.8574346,-73.84708009,Market open dates: 6/6/2017 to 11/24/2017,06/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8574345984999, -73.8470800897)"
Brooklyn,Harvest Home Kings County Hospital Farmers Market,Clarkson Ave bet E 37th & E 38th Sts,40.65583545,-73.94335635,Market open dates: 6/7/2017 to 11/22/2017,06/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6558354471999, -73.9433563464999)"
Manhattan,Harvest Home Lenox Ave Farmers Market,Lenox Ave bet 117th & 118th Sts,40.80309427,-73.94897343,Market open dates: 6/10/2017 to 11/18/2017,06/10/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8030942729999, -73.9489734341999)"
Manhattan,Harvest Home Metropolitan Farmers Market,99th St & 3rd Ave,40.78712766,-73.94792473,Market open dates: 6/9/2017 to 11/17/2017,06/09/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7871276636999, -73.9479247340999)"
Bronx,Harvest Home Mt. Eden Farmers Market,Mt Eden & Morris Aves,40.84276419,-73.9095888,Market open dates: 6/9/2017 to 11/23/2017,06/09/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8427641883, -73.9095888023999)"
Bronx,Harvest Home North Central Bronx Farmers Market,Mosholu Pkwy & Jerome Ave,40.87887971,-73.88567667,Market open dates: 7/14/2017 to 11/23/2017,07/14/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8788797113, -73.8856766663)"
Bronx,Harvest Home Soundview Farmers Market,Morrison Ave & Harrod Pl,40.82905437,-73.87443772,Market open dates: 6/17/2017 to 11/18/2017,06/17/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8290543708, -73.8744377184)"
Manhattan,Harvest Home West Harlem Farmers Market,Broadway bet 137th & 138th Sts,40.82138997,-73.95413402,Market open dates: 7/11/2017 to 11/21/2017,07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8213899711999, -73.9541340172)"
