Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point
Brooklyn,Hattie Carthan After Church Farmers Market,49 Van Buren St bet Tompkins & Throop Aves,40.6900437,-73.94355807,Market open dates: 7/30/2017 to 11/19/2017,07/30/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6900436975, -73.9435580667999)"
Brooklyn,Hattie Carthan Community Farmers Market,Marcy Ave & Clifton Pl,40.68951881,-73.94804063,Market open dates: 7/22/2017 to 11/18/2017,07/22/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6895188127, -73.9480406273)"
Staten Island,HEALTH for Youths Farm Stand,Clyde Pl bet Prospect & Harvard Aves,40.639903,-74.08953,Market open dates: 6/24/2017 to 11/25/2017,06/24/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.639903, -74.08953)"
Brooklyn,High School for Public Service Youth Farm Farmers Market,600 Kingston Ave bet Rutland Rd & Winthrop St,40.65890092,-73.94245989,Market open dates: 6/21/2017 to 10/25/2017,06/21/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6589009237, -73.9424598947999)"
Manhattan,Hudson Guild Head Start,459 West 26th Street,40.7496281,-74.0022625,"Open dates: 7/11/2017 to 11/21/2017


Cooking Demonstration: July - Nov only",07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Food Boxes,"(40.7496281, -74.0022625)"
Manhattan,Hudson Yards Down to Earth Farmers Market,Hudson Blvd East & W 34th Street,40.755342,-74.000517,Market open dates: 6/8/2017 to 11/16/2017,06/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.755342, -74.000517)"
Queens,Hunters Point South,1-50 50th Avenue,40.7434526,-73.9591916,Open dates: 6/10/2017 to 11/18/2017,06/10/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.7434526, -73.9591916)"
Brooklyn,Inner Force Tots Learning Center,1181 East New York Ave,40.667156,-73.923209,"Open dates: 7/11/2017 to 11/24/2017


Cooking Demonstration: July - Nov only",07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Food Boxes,"(40.667156, -73.923209)"
Brooklyn,Irving Square Park Youthmarket,Wilson Ave & Halsey St,40.691594,-73.909549,Market open dates: 9/1/2017 to 10/27/2017,09/01/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.691594, -73.909549)"
Brooklyn,Isabahlia Farm Stand,Rockaway & Sutter Aves,40.66716393,-73.91009357,Market open dates: 6/23/2017 to 10/27/2017,06/23/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6671639278999, -73.9100935669)"
Brooklyn,Isabahlia Farm Stand Winter Market,New Lots Ave & Sackman St,40.65792927,-73.90188848,Market open dates: Nov-Dec only,11/04/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6579292691, -73.9018884807999)"
Brooklyn,Isabahlia Farmers Market,Livonia Ave bet Powell & Junius Sts,40.66366549,-73.90145111,Market open dates: 6/24/2017 to 10/28/2017,06/24/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6636654893, -73.9014511092999)"
Queens,Jackson Heights Greenmarket,34th Ave bet 77th St & 78th St,40.75334737,-73.88875792,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,TRUE,Farmers Markets,"(40.7533473709999, -73.8887579226)"
Queens,Jamaica's Down to Earth Farmers Market - Friday market,Parsons Blvd bet Jamaica & Archer Aves,40.70248213,-73.79992225,Market open dates: 6/16/2017 to 11/17/2017,06/16/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.7024821332, -73.7999222517999)"
Queens,Jamaica's Down to Earth Farmers Market - Saturday market,160th St & Jamaica Ave,40.70375985,-73.7991502,Market open dates: 6/17/2017 to 11/18/2017,06/17/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.7037598528999, -73.7991501964999)"
Brooklyn,Kensington Youthmarket,Ft. Hamilton Pkwy bet E 4th & E 5th Sts,40.64917445,-73.97660258,Market open dates: 6/3/2017 to 12/23/2017,06/03/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6491744472999, -73.976602583)"
Bronx,Kingsbridge-Riverdale Farmers Market,260 W 231st Street,40.879974,-73.907356,Market open dates: 6/11/2017 to 11/26/2017,06/11/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.879974, -73.907356)"
Bronx,La Familia Verde Farmers Market,E Tremont Ave bet LaFontaine & Arthur Aves,40.84649501,-73.8943382,Market open dates: 7/11/2017 to 11/14/2017,07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8464950107, -73.8943382047999)"
Bronx,"Learn It, Grow It, Eat It Youthmarket",McKinley Sq at 169th St & Boston Rd,40.83115177,-73.90016595,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8311517735999, -73.9001659542)"
Manhattan,Lenox Hill Senior Center,70th Street & 1st Avenue,40.7664912,-73.9569688,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Food Boxes,"(40.7664912, -73.9569688)"
Bronx,Lincoln Hospital Greenmarket,149th St bet Park Ave & Morris Ave,40.81739612,-73.92275947,Market open dates: 6/30/2017 to 11/21/2017,06/30/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8173961245, -73.9227594665999)"
Manhattan,Lower East Side Youthmarket,Grand Ave bet Pitt & Willet Sts,40.71521773,-73.98425929,Market open dates: 6/1/2017 to 12/21/2017,06/01/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7152177309, -73.9842592931999)"
Brooklyn,Malcolm X Blvd Farmers Market,Malcolm X Blvd bet Marion & Chauncey Sts,40.68051375,-73.92857127,Market open dates: Mid July to October,,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6805137546, -73.9285712733999)"
Brooklyn,Marcus Garvey Apartments Farm Stand,300 Chester St,40.66448525,-73.91038554,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6644852514, -73.9103855393999)"
Manhattan,Marcus Garvey Mart Farmers Market,"Marcus Garvey Park, 124th St & 5th Ave",40.805901,-73.942783,Market open dates: 6/2/2017 to 12/30/2017,06/02/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.805901, -73.942783)"
Brooklyn,McCarren Park Greenmarket,Union bet Driggs & N 12th St,40.71922733,-73.95247994,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7192273304999, -73.9524799378999)"
Brooklyn,McGolrick Park's Down to Earth Farmers Market,Russell St & Nassau Ave,40.72562454,-73.94449844,Market open dates: 5/7/2017 to 11/19/2017,05/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7256245382, -73.9444984415)"
Manhattan,Morningside Park's Down to Earth Farmers Market,110th St & Manhattan Ave,40.80116343,-73.95964893,Market open dates: 5/6/2017 to 12/30/2017,05/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8011634257999, -73.9596489284)"
Bronx,Mott Haven Farmers Market,139th St & St Ann's Ave,40.80751388,-73.91701657,Market open dates: 7/10/2017 to 11/13/2017,07/10/2017,Farmers Markets and Food Boxes,FALSE,FALSE,TRUE,Farmers Markets,"(40.8075138755, -73.9170165724)"
Manhattan,Mount Sinai Hospital Greenmarket,E. 99th St bet Madison Ave & Park Ave,40.78917731,-73.95274419,Market open dates: 6/14/2017 to 11/22/2017,06/14/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7891773108, -73.9527441949)"
Bronx,Norwood Youthmarket,E Gun Hill Rd & Dekalb Ave,40.88222844,-73.88045976,Market open dates: 7/6/2017 to 11/16/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8822284393, -73.8804597606)"
Brooklyn,NYC Health + Hospital East New York Farmacy,2094 Pitkin Ave,40.671927,-73.895359,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.671927, -73.895359)"
Manhattan,Oculus Plaza Greenmarket,Church & Fulton Sts,40.7116518,-74.0106725,Market open dates: 6/20/2017 to 11/28/2017,06/20/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7116518, -74.0106725)"
Brooklyn,Park Slope's Down to Earth Farmers Market,5th Ave & 4th St,40.67220165,-73.98378638,"Market open dates (Wednesdays): 5/07/2017 to 12/24/2017

Open year-round (Sundays only)",,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.6722016451999, -73.9837863813999)"
Bronx,Parkchester Greenmarket,Westchester Ave & White Plains Rd,40.83305633,-73.86254119,Market open dates: 6/16/2017 to 11/17/2017,06/16/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8330563255, -73.8625411948)"
Brooklyn,Parkside Plaza Greenmarket,Parkside Ave & Ocean Ave,40.65489064,-73.96188178,Market open dates: 6/11/2017 to 11/19/2017,06/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6548906387999, -73.9618817836999)"
Brooklyn,Pitkin Verde Farmers Market,2094 Pitkin Ave & Pennsylvania Ave,40.67198493,-73.89524914,Market open dates: 7/11/2017 to 11/21/2017,07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6719849254999, -73.895249135)"
Bronx,Poe Park Greenmarket,E 192 St & Grand Concourse,40.864381,-73.895027,Market open dates: 6/20/2017 to 11/28/2017,06/20/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.864381, -73.895027)"
Queens,Pomonok Community-Run Farmers Market,67-09 Kissena Blvd,40.73504052,-73.81466206,"Market open dates: 7/5/2017 to 11/22/2017
https://www.facebook.com/QCHFarmersMarket/",07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7350405246, -73.8146620578)"
Brooklyn,Project EATS Farmacy at the Brownsville Neighborhood Health Action Center,259 Bristol St,40.664673,-73.911085,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.664673, -73.911085)"
Manhattan,PS 11 Farm Market,21st St bet 8th & 9th Aves,40.74521622,-74.00226784,Market open dates: 6/7/2017 to 11/15/2017,06/07/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7452162208999, -74.0022678383)"
Manhattan,PS 57 Youthmarket,115th street & 3rd Avenue,40.797169,-73.940872,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.797169, -73.940872)"
Manhattan,PS 7 Farm Stand,Lexington Ave & 119th St,40.80056486,-73.94020642,Market open dates: May-June and Sep-Nov only,,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8005648645999, -73.9402064239999)"
Brooklyn,Putnam Triangle Youthmarket,966 Fulton St,40.682312,-73.962203,Market open dates: 9/6/2017 to 10/25/2017,09/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.682312, -73.962203)"
Staten Island,Staten Island Mall Greenmarket,Marsh Avenue & Ring Road,40.583867,-74.159757,Market open dates: 5/6/2017 to 12/23/2017,05/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.583867, -74.159757)"
Queens,Queens Botanical Garden's Down to Earth Farmers Market,82 Dahllia Avenue,40.75186765,-73.82636341,Market open dates: 6/16/2017 to 11/17/2017,06/16/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7518676494999, -73.8263634104)"
Queens,Queens Hospital Center Farmers Market,82-68 164th St,40.71723366,-73.8036028,Market open dates: 7/6/2017 to 11/16/2017,07/06/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.7172336563, -73.8036027959)"
Queens,Queens Hospital Center Farmers Market II,114-02 Guy R Brewer Blvd,40.68876005,-73.78567342,Market open dates: 7/6/2017 to 11/16/2017,07/06/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.6887600482, -73.7856734232999)"
Manhattan,Rachel Mae's Market,Essex St bet Heaster & Canal Sts,40.715578,-73.989747,Market open dates: 6/1/2017 to 12/1/2017,06/01/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.715578, -73.989747)"
Brooklyn,RB Bushwick Farmers Market at Maria Hernandez Park,Knickerbocker Ave & Starr St,40.70281849,-73.9253916,Market open dates: 5/20/2017 to mid Nov,05/20/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.7028184891999, -73.9253915954)"
Brooklyn,RB Farmers Market at Rheingold,555 Bushwick Ave,40.699668,-73.935453,Market open dates: 5/21/2017 to 11/1/2017,05/21/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.699668, -73.935453)"
Brooklyn,RB Farmers Night Market,434 Troutman Street,40.707334,-73.922078,Market open dates: 5/19/2017 to 11/24/2017,05/19/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.707334, -73.922078)"
Brooklyn,Red Hook Farmers Market,580 Columbia St,40.6722352,-74.01100736,Market open dates: 6/17/2017 to 11/18/2017,06/17/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.6722351977999, -74.0110073612)"
Brooklyn,Restoration Plaza Farm Stand,Fulton St & Marcy Ave,40.68013369,-73.9459251,Market open dates: 7/12/2017 to 11/22/2017,07/12/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.6801336891, -73.9459251028)"
Queens,Ridgewood Youthmarket,Cypress Ave bet Myrtle & Putnam Aves,40.70037567,-73.90661902,Market open dates: 7/8/2017 to 11/18/2017,07/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7003756704, -73.9066190215)"
Bronx,Riverdale Y Sunday Farmers Market,Independence Ave bet 236th & 237th Sts,40.887714,-73.913255,Market open dates: 4/23/2017 to 12/3/2017,04/23/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.887714, -73.913255)"
Bronx,Riverdale Youthmarket,256th St & Mosholu Ave,40.90387505,-73.90311352,Market open dates: 7/6/2017 to 10/26/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.9038750518, -73.9031135203999)"
Queens,Rockaway Beach Youthmarket,Beach 58th St & Beach Channel Dr,40.59450005,-73.78807882,Market open dates: 7/8/2017 to 11/18/2017,07/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.5945000514999, -73.7880788172)"
Manhattan,Rockefeller Center Greenmarket,Rockefeller Plaza bet W 50th St & W 51st St,40.75907246,-73.97845183,Market open dates: 7/26/2017 to 9/1/2017,07/26/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.7590724581, -73.9784518322999)"
Brooklyn,Saratoga Youth Market,Saratoga Ave & Fulton St,40.67858414,-73.91630091,Market open dates: 6/24/2017 to 11/25/2017,06/24/2017,Farmers Markets and Food Boxes,FALSE,FALSE,TRUE,Farmers Markets,"(40.6785841411, -73.9163009122)"
Bronx,South Bronx Farmers Market,138th St bet Willis & Alexander Aves,40.81006105,-73.92514495,Market open dates: 6/17/2017 to 11/22/2017,06/17/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.8100610549999, -73.9251449498)"
Brooklyn,South Williamsburg Greenmarket,Taylor St & Lee Ave,40.70700548,-73.96136506,Market open dates: 7/6/2017 to 11/21/2017,07/06/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.707005483, -73.9613650639)"
Staten Island,St George Greenmarket,Hyatt St & St Mark's Place,40.641607,-74.077292,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.641607, -74.077292)"
Brooklyn,St Marks Head Start,2017 Beverly Road,40.6451809,-73.9596352,"Open dates: 7/5/2017 to 11/22/2017


Cooking Demonstration: July - Nov only",07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Food Boxes,"(40.6451809, -73.9596351999999)"
Manhattan,Staten Island Ferry Whitehall Terminal Greenmarket,4 South St,40.70164259,-74.01186697,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7016425926999, -74.0118669677)"
Bronx,Stevenson Family Health Center,731 White Plains Road,40.820808,-73.859039,Open dates: 7/11/2017 to 11/21/2017,07/11/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.820808, -73.859039)"
Manhattan,Stuyvesant Town Greenmarket,14th St Loop & Ave A,40.73045054,-73.98034091,Market open dates: 5/21/2017 to 11/19/2017,05/21/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7304505393, -73.9803409068999)"
Manhattan,Sugar Hill Greenmarket,W 155th St & St Nicholas Ave,40.83090012,-73.94136802,Market open dates: 6/24/2017 to 11/18/2017,06/24/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8309001187, -73.9413680213999)"
Queens,Sunnyside Greenmarket,Skillman Ave bet 42nd St & 43rd St,40.74689899,-73.92079851,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7468989934, -73.9207985089)"
Brooklyn,Sunset Park Greenmarket,59th St & 4 Ave,40.64084493,-74.01843209,Market open dates: 7/1/2017 to 11/18/2017,07/01/2017,Farmers Markets and Food Boxes,TRUE,FALSE,TRUE,Farmers Markets,"(40.6408449272, -74.0184320941999)"
Bronx,Taqwa Community Farmers Market,90 W 164th St bet Ogden & Nelson Aves,40.83292449,-73.92938696,Market open dates: 7/8/2017 to 10/28/2017,07/08/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.8329244943, -73.9293869587999)"
Manhattan,Tompkins Square Greenmarket,E 7th St & Ave A,40.72606217,-73.98353516,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7260621742, -73.9835351597999)"
Manhattan,Tribeca Greenmarket,Greenwich & Chambers Sts,40.7163107,-74.01096775,"Market open dates (Wednesdays): 4/5/2017 to 12/20/2017

Open year-round (Saturdays only)",,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7163106993999, -74.0109677454999)"
Manhattan,Tucker Square Greenmarket,66th St & Columbus Ave,40.77360915,-73.98157377,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7736091515999, -73.9815737691999)"
Manhattan,Union Square Greenmarket,E 17th St & Broadway,40.73714078,-73.99033077,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Farmers Markets,"(40.7371407780999, -73.9903307676)"
Manhattan,Uptown Grand Central,125th Street & Park Avenue,40.8051304,-73.9391832,Open year-round,,Farmers Markets and Food Boxes,TRUE,TRUE,FALSE,Food Boxes,"(40.8051304, -73.9391832)"
Manhattan,Urban Garden Center,116th Street & Park Avenue,40.7992468,-73.9430994,Open dates: 11/30/2017 to 6/28/2017,11/30/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Food Boxes,"(40.7992468, -73.9430994)"
Brooklyn,Urban Oasis Farmers Market,Clarkson & Troy Aves,40.65624918,-73.93668483,Market open dates: 6/28/2017 to 11/15/2017,06/28/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.6562491753999, -73.9366848278999)"
Manhattan,Water Street Greenmarket,Water Street & Coenties Slip,40.70327588,-74.01034887,Market open dates: 6/1/2017 to 11/16/2017,06/01/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.7032758753, -74.0103488668)"
Bronx,Williamsbridge Health Center Farmacy,3011 Boston Rd,40.869727,-73.857372,Market open dates: 6/15/2017 to 11/15/2017,06/15/2017,Farmers Markets and Food Boxes,FALSE,FALSE,FALSE,Farmers Markets,"(40.869727, -73.857372)"
Brooklyn,Woodhull Hospital,Marcus Garvey Blvd & Broadway,40.700254,-73.94124,Market open dates: 7/5/2017 to 11/22/2017,07/05/2017,Farmers Markets and Food Boxes,TRUE,FALSE,FALSE,Farmers Markets,"(40.700254, -73.94124)"
